© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1961 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;;;
(Die Briefwahl ist nicht in den Kreisergebnissen enthalten, sondern wurde extra ausgewiesen.);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;F.D.P.;GDP;DFU;DRP;DG;SSW
06;231;Biedenkopf;39720;32049;1794;30255;13655;8680;0;4924;1987;828;181;0;0
06;232;Dillkreis;62881;50736;2779;47957;18438;16928;0;9058;2502;850;181;0;0
06;233;Gelnhausen;56426;49481;3028;46453;16958;18767;0;5513;3504;1093;618;0;0
06;234;Hanau;64858;57707;3112;54595;28587;15540;0;5309;1826;2947;386;0;0
06;235;Limburg;58381;51324;2194;49130;13827;28259;0;4581;1851;279;333;0;0
06;236;Main-Taunus-Kreis;89497;77579;3704;73875;29673;30364;0;8703;3630;1150;355;0;0
06;237;Oberlahnkreis;39684;34201;1709;32492;14213;9960;0;5004;2830;332;153;0;0
06;238;Obertaunuskreis;74753;61691;2696;58995;22496;22992;0;9882;2132;1051;442;0;0
06;239;Rheingaukreis;40119;34226;1467;32759;9565;17860;0;3200;1557;395;182;0;0
06;240;Schlüchtern;29001;24766;1150;23616;9494;8559;0;4218;812;387;146;0;0
06;241;Untertaunuskreis;38397;31880;1736;30144;11463;9962;0;6114;1956;330;319;0;0
06;242;Usingen;19418;16584;933;15651;7122;4763;0;2752;613;301;100;0;0
06;243;Wetzlar;100179;86633;4193;82440;40066;17994;0;16331;6096;1545;408;0;0
07;244;Koblenz, Stadt;67766;52463;2702;49761;14944;25407;0;7871;301;687;530;21;0
07;245;Ahrweiler;58160;49531;2212;47319;6486;35427;0;4487;239;398;254;28;0
07;246;Altenkirchen (Westerwald);76429;65894;2434;63460;19157;35013;0;7908;408;492;463;19;0
07;247;Birkenfeld;62632;49096;2726;46370;20009;13070;0;8881;280;749;3195;186;0
07;248;Cochem;30628;25603;1455;24148;3173;18504;0;2339;17;58;50;7;0
07;249;Koblenz;52551;44118;2037;42081;13829;22795;0;4451;250;460;284;12;0
07;250;Kreuznach;87655;72655;3335;69320;28270;26539;0;11484;331;1047;1549;100;0
07;251;Mayen;81878;70303;2684;67619;18334;42980;0;5025;193;592;408;87;0
07;252;Neuwied;94216;79798;3374;76424;26028;37875;0;10760;409;781;547;24;0
07;253;Sankt Goar;34789;29115;1218;27897;5834;18156;0;3290;102;220;276;19;0
07;254;Simmern;27834;23026;890;22136;6069;9198;0;6617;45;54;145;8;0
07;255;Zell (Mosel);24944;19942;1328;18614;3963;10994;0;3445;57;56;87;12;0
07;256;Trier, Stadt;59791;46928;2738;44190;13580;23083;0;6300;238;548;428;13;0
07;257;Bernkastel;37589;29236;1990;27246;5470;16418;0;4934;56;75;265;28;0
07;258;Bitburg;36853;31118;1890;29228;4962;21074;0;2802;108;187;82;13;0
07;259;Daun;26860;23196;1118;22078;2443;17711;0;1625;108;98;83;10;0
07;260;Prüm;25507;21841;1306;20535;2253;16501;0;1494;67;160;52;8;0
07;261;Saarburg;30090;25849;1590;24259;4749;16360;0;2686;89;199;168;8;0
07;262;Trier;59197;51127;3062;48065;10838;32136;0;4098;140;343;491;19;0
07;263;Wittlich;35111;29643;1599;28044;3911;20527;0;3051;163;203;181;8;0
07;264;Oberwesterwaldkreis;45769;38677;2260;36417;11709;18243;0;5129;295;643;373;25;0
07;265;Loreleykreis;39590;32192;1508;30684;10504;13365;0;6072;99;280;321;43;0
07;266;Unterlahnkreis;40253;32751;1769;30982;14077;9268;0;6157;229;281;954;16;0
