© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;
;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1965 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;
(Die Briefwahl ist nicht in den Kreisergebnissen enthalten, sondern wurde extra ausgewiesen.);;;;;;;;;;;
;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;F.D.P.;Sonstige
05;171;Bochum, Stadt;254837;203778;3303;200475;115617;69884;0;10295;4679
05;172;Castrop-Rauxel, Stadt;59097;48598;894;47704;26345;18679;0;1656;1024
05;173;Dortmund, Stadt;465967;375779;6013;369766;210465;129034;0;20035;10232
05;174;Hagen, Stadt;144122;112605;2507;110098;57877;40195;0;8628;3398
05;175;Hamm, Stadt;51683;40647;944;39703;16418;18910;0;3053;1322
05;176;Herne, Stadt;78682;63919;1128;62791;34797;22925;0;2766;2303
05;177;Iserlohn, Stadt;41029;32981;576;32405;14522;13340;0;3528;1015
05;178;Lüdenscheid, Stadt;43085;34014;595;33419;15070;13620;0;3267;1462
05;179;Lünen, Stadt;50873;42081;808;41273;22377;16126;0;1784;986
05;180;Siegen, Stadt;33747;26288;395;25893;10593;11399;0;2910;991
05;181;Wanne-Eickel, Stadt;73638;59027;1076;57951;34608;19272;0;2509;1562
05;182;Wattenscheid, Stadt;58243;47253;738;46515;26651;16786;0;2008;1070
05;183;Witten, Stadt;71182;58268;945;57323;33484;18830;0;3671;1338
05;184;Altena;119082;97052;1455;95597;44829;36621;0;10764;3383
05;185;Arnsberg;91176;76596;1372;75224;26846;42707;0;4419;1252
05;186;Brilon;49121;41231;1018;40213;11040;26045;0;2493;635
05;187;Ennepe-Ruhr-Kreis;186738;154104;2052;152052;80839;53174;0;13276;4763
05;188;Iserlohn;134395;111363;1581;109782;48412;50743;0;8095;2532
05;189;Lippstadt;64465;53660;1068;52592;18842;29805;0;2768;1177
05;190;Meschede;51668;43600;915;42685;10947;28672;0;2498;568
05;191;Olpe;64516;54916;1232;53684;13942;36469;0;2346;927
05;192;Siegen;117413;96455;1644;94811;40416;42515;0;8999;2881
05;193;Soest;71025;57952;1062;56890;18889;30072;0;6274;1655
05;194;Unna;156318;131574;2153;129421;69099;48441;0;7926;3955
05;195;Wittgenstein;29172;23779;544;23235;10061;9931;0;2509;734
06;196;Darmstadt, Stadt;97833;76191;2163;74028;32514;27845;0;9994;3675
06;197;Gießen, Stadt;46161;37487;1073;36414;15232;13733;0;4949;2500
06;198;Offenbach am Main, Stadt;84318;66853;1758;65095;32988;22300;0;6438;3369
06;199;Alsfeld;38675;31798;905;30893;13961;10129;0;5375;1428
06;200;Bergstraße;135706;114837;2749;112088;47154;51504;0;8839;4591
06;201;Büdingen;57958;49094;1745;47349;24164;14899;0;6644;1642
