© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1969 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;
;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;F.D.P.;NPD;ADF;Sonstige
06;236;Witzenhausen;36643;33026;669;32357;17381;11097;0;1722;1376;179;602
06;237;Wolfhagen;26708;24010;461;23549;11881;7832;0;1690;1610;235;301
06;238;Ziegenhain;36584;32629;714;31915;15137;11285;0;2124;2900;92;377
07;239;Koblenz, Stadt;71070;60442;606;59836;25407;28573;0;3582;2028;246;0
07;240;Ahrweiler;62979;55886;1004;54882;14258;36665;0;2341;1451;167;0
07;241;Altenkirchen (Westerwald);78854;70173;1045;69128;25354;36722;0;4738;2110;204;0
07;242;Bad Kreuznach;98198;86366;1383;84983;39271;33548;0;7275;4513;376;0
07;243;Birkenfeld;62708;51963;840;51123;23820;18468;0;4617;3908;310;0
07;244;Cochem-Zell;44140;39469;1246;38223;8255;26980;0;1717;1184;87;0
07;245;Koblenz;63960;56765;703;56062;21753;30065;0;2539;1440;265;0
07;246;Mayen;81343;72040;1195;70845;25153;41214;0;2431;1733;314;0
07;247;Neuwied;100014;88478;1418;87060;36767;41835;0;5386;2622;450;0
07;248;Oberwesterwaldkreis;50602;43686;1099;42587;16517;21560;0;2846;1495;169;0
07;249;Rhein-Hunsrück-Kreis;57596;50155;822;49333;16055;25692;0;5624;1790;172;0
07;250;Rhein-Lahn-Kreis;80643;69172;1290;67882;31455;28064;0;4871;3247;245;0
07;251;Unterwesterwaldkreis;55977;50202;973;49229;16534;28909;0;2470;1084;232;0
07;252;Trier, Stadt;70901;58815;1180;57635;22229;29753;0;3108;2269;276;0
07;253;Bernkastel-Wittlich;71659;60834;1922;58912;14249;36862;0;4339;3204;258;0
07;254;Bitburg;36932;31433;1000;30433;7449;19816;0;2005;1077;86;0
07;255;Daun;28202;24815;504;24311;5483;17131;0;1054;611;32;0
07;256;Prüm;25408;21910;659;21251;3914;15597;0;1090;609;41;0
07;257;Trier-Saarburg;77653;68678;2111;66567;19042;41520;0;3024;2763;218;0
07;258;Frankenthal (Pfalz), Stadt;26616;23734;364;23370;11652;9400;0;1158;993;167;0
