© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1957 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;;
(Die Briefwahl ist nicht in den Kreisergebnissen enthalten, sondern wurde extra ausgewiesen.);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;CSU;F.D.P.;DP;FU;GB/BHE;Sonstige
05;169;Warburg;29473;25548;628;24920;18252;3124;0;506;842;769;1288;139
05;170;Wiedenbrück;94734;81990;2078;79912;51879;16557;0;4825;1369;1017;3433;832
05;171;Bochum, Stadt;247857;206348;7753;198595;90870;90076;0;9923;2099;292;3720;1615
05;172;Castrop-Rauxel, Stadt;57718;49062;2365;46697;21697;21774;0;1492;446;52;937;299
05;173;Dortmund, Stadt;449309;366517;14848;351669;144298;172931;0;19339;5417;410;6286;2988
05;174;Hagen, Stadt;131225;107316;3639;103677;46605;43660;0;8486;1345;104;2259;1218
05;175;Hamm, Stadt;47664;38877;1638;37239;20274;11566;0;2855;492;396;785;871
05;176;Herne, Stadt;81989;69592;3137;66455;31197;30403;0;2757;546;66;1028;458
05;177;Iserlohn, Stadt;37874;30984;1157;29827;14846;10098;0;2635;495;534;943;276
05;178;Lüdenscheid, Stadt;40705;33231;1796;31435;14431;12128;0;3145;320;33;944;434
05;179;Lünen, Stadt;47123;40494;1729;38765;17461;18051;0;1599;432;14;961;247
05;180;Siegen, Stadt;32186;26118;811;25307;13271;6786;0;2961;916;58;916;399
05;181;Wanne-Eickel, Stadt;72569;60191;3173;57018;25715;27006;0;2226;461;64;848;698
05;182;Wattenscheid, Stadt;54074;45505;2393;43112;19930;20149;0;1542;323;56;858;254
05;183;Witten, Stadt;66932;56735;2599;54136;21695;26543;0;3052;743;61;1393;649
05;184;Altena;107669;88740;3252;85488;37566;32245;0;9280;2057;413;2555;1372
05;185;Arnsberg;81841;69769;1854;67915;43423;17285;0;3326;601;1136;1410;734
05;186;Brilon;45091;39327;1031;38296;26870;6295;0;1380;649;1320;1618;164
05;187;Ennepe-Ruhr-Kreis;173488;145390;4503;140887;57016;64106;0;12323;2186;214;3181;1861
05;188;Iserlohn;120261;100503;2388;98115;50478;34834;0;6001;1313;1537;3212;740
05;189;Lippstadt;59018;50853;1538;49315;29965;11670;0;2209;719;786;3657;309
05;190;Meschede;47270;40571;954;39617;28806;6692;0;1474;449;259;1504;433
05;191;Olpe;57793;50529;1160;49369;36376;9049;0;1222;613;1155;696;258
05;192;Siegen;103365;86251;1979;84272;42522;25254;0;8854;2375;121;4122;1024
05;193;Soest;66714;55331;1807;53524;30212;11104;0;4416;2193;1559;2564;1476
05;194;Unna;143303;123761;3808;119953;49302;56156;0;6838;1394;395;3011;2857
05;195;Wittgenstein;27182;22764;592;22172;9821;7593;0;2721;882;7;963;185
06;196;Darmstadt, Stadt;88566;72750;3669;69081;28858;26104;0;9117;2221;0;1993;788
06;197;Gießen, Stadt;40650;33670;1200;32470;15511;10447;0;2784;1760;0;1631;337
06;198;Offenbach am Main, Stadt;78797;65354;3392;61962;24424;27623;0;3099;5080;0;1358;378
06;199;Alsfeld;38721;32230;1115;31115;11270;9789;0;2699;3772;0;3295;290
06;200;Bergstraße;119064;102735;5042;97693;47382;35725;0;7214;1369;0;4885;1118
06;201;Büdingen;56170;47050;2245;44805;14012;17840;0;2627;5859;0;3623;844
06;202;Darmstadt;62503;55183;3535;51648;17383;25114;0;4680;1518;0;2197;756
06;203;Dieburg;61533;55036;2824;52212;23710;22139;0;2456;967;0;2117;823
06;204;Erbach;44650;38282;1975;36307;13263;16824;0;2450;1098;0;1490;1182
06;205;Friedberg;98755;85477;4267;81210;29260;33754;0;4901;5419;0;5961;1915
06;206;Gießen;68959;60390;2708;57682;18610;22292;0;5072;4828;0;5984;896
06;207;Groß-Gerau;100493;88532;5838;82694;30671;39901;0;4471;2607;0;4152;892
06;208;Lauterbach;31442;26098;1112;24986;8328;7429;0;2707;3502;0;2517;503
06;209;Offenbach;111931;99502;5114;94388;41695;39775;0;5630;1999;0;4615;674
06;210;Fulda, Stadt;31396;26823;1157;25666;16962;4998;0;1617;258;0;1584;247
06;211;Kassel, Stadt;141202;120569;6380;114189;38584;51697;0;10076;10361;0;2518;953
06;212;Marburg a.d. Lahn, Stadt;26441;20936;747;20189;8810;5904;0;2810;1563;0;825;277
06;213;Eschwege;47035;40543;2066;38477;11554;16262;0;4817;2382;0;3067;395
06;214;Frankenberg;32124;26748;1216;25532;10128;6503;0;4342;1746;0;2279;534
06;215;Fritzlar-Homberg;52723;45941;2031;43910;12068;19495;0;2161;6862;0;2653;671
06;216;Fulda;61998;55911;1818;54093;40130;7664;0;1694;605;0;3608;392
06;217;Hersfeld;49556;42437;2388;40049;13193;18268;0;4039;1733;0;1838;978
06;218;Hofgeismar;41110;35748;1836;33912;8749;14276;0;2550;4702;0;3417;218
06;219;Hünfeld;23018;20396;708;19688;13551;2863;0;1194;254;0;1626;200
06;220;Kassel;49604;44828;2328;42500;8844;26479;0;2341;3041;0;1084;711
06;221;Marburg;61928;52641;2567;50074;18547;16946;0;4229;6579;0;3225;548
06;222;Melsungen;32075;27871;1603;26268;5913;12204;0;2579;3023;0;2232;317
06;223;Rotenburg;38979;33540;1707;31833;11436;12729;0;2342;3252;0;1716;358
06;224;Waldeck;59066;48301;1948;46353;16804;13172;0;6359;4997;0;3903;1118
06;225;Witzenhausen;36010;31399;1728;29671;9382;13519;0;2171;2032;0;2246;321
06;226;Wolfhagen;24996;21404;1056;20348;6003;8528;0;1318;2365;0;1521;613
06;227;Ziegenhain;36857;31671;1294;30377;9198;10788;0;2835;3696;0;3348;512
06;228;Frankfurt am Main, Stadt;482630;378875;15076;363799;148331;150217;0;35943;11593;0;11291;6424
06;229;Hanau, Stadt;30847;25999;1624;24375;9576;10410;0;2145;748;0;1032;464
06;230;Wiesbaden, Landeshauptstadt;181174;144608;7528;137080;61429;48266;0;17059;3322;0;4912;2092
06;231;Biedenkopf;37844;31441;1344;30097;11067;10976;0;2054;3206;0;2490;304
06;232;Dillkreis;59901;48078;2523;45555;22209;12623;0;3077;4516;0;2814;316
06;233;Gelnhausen;53994;47669;2706;44963;20317;15064;0;3088;1203;0;3919;1372
06;234;Hanau;60095;53653;3343;50310;17214;26055;0;2543;1126;0;2690;682
06;235;Limburg;56366;49617;2371;47246;30553;10325;0;2004;1006;0;2713;645
06;236;Main-Taunus-Kreis;79900;69176;4089;65087;30870;23235;0;4182;1531;0;4434;835
06;237;Oberlahnkreis;39081;33711;1773;31938;11124;11871;0;2484;1982;0;3835;642
06;238;Obertaunuskreis;67835;56453;2655;53798;25192;17758;0;4694;2730;0;2706;718
06;239;Rheingaukreis;39287;34112;1741;32371;19795;7798;0;1537;475;0;2387;379
06;240;Schlüchtern;28423;24298;997;23301;10289;7527;0;3116;555;0;1248;566
06;241;Untertaunuskreis;36090;30321;1580;28741;11144;9071;0;3665;1665;0;2624;572
06;242;Usingen;18565;15966;937;15029;5350;5906;0;1016;1066;0;900;791
06;243;Wetzlar;94472;80886;4559;76327;21512;33097;0;9850;3338;0;7641;889
07;244;Koblenz, Stadt;61355;50398;1525;48873;28048;14401;0;4556;556;0;749;563
07;245;Ahrweiler;54620;47485;1507;45978;36656;5970;0;1849;480;0;759;264
07;246;Altenkirchen (Westerwald);72128;62942;1434;61508;37233;15201;0;5583;2295;0;781;415
07;247;Birkenfeld;58917;46255;1751;44504;14026;16665;0;8570;578;0;671;3994
07;248;Cochem;29155;25530;755;24775;20811;2424;0;833;340;0;255;112
07;249;Koblenz;48882;42449;1438;41011;24169;12814;0;2766;245;0;694;323
07;250;Kreuznach;84169;71029;2390;68639;28866;24051;0;11112;666;0;1264;2680
07;251;Mayen;77642;68566;2253;66313;45677;16579;0;2595;483;0;678;301
07;252;Neuwied;90046;77057;2159;74898;40097;23845;0;8183;634;0;1319;820
07;253;Sankt Goar;33750;28599;820;27779;19163;5276;0;2054;240;0;424;622
07;254;Simmern;27171;23730;452;23278;11102;4468;0;5675;500;0;538;995
07;255;Zell (Mosel);24783;21250;963;20287;13136;2865;0;2886;360;0;538;502
07;256;Trier, Stadt;58412;46342;2799;43543;25406;12356;0;3526;1054;0;483;718
07;257;Bernkastel;36918;30867;1379;29488;18685;4687;0;4193;409;0;469;1045
07;258;Bitburg;36242;30756;1585;29171;22195;4497;0;1734;240;0;295;210
07;259;Daun;25605;22396;815;21581;17937;2060;0;995;205;0;232;152
07;260;Prüm;25215;21760;993;20767;17033;2235;0;1000;173;0;181;145
07;261;Saarburg;29412;25446;1457;23989;17503;3621;0;1799;229;0;405;432
07;262;Trier;56257;49353;2844;46509;32498;9417;0;2346;1214;0;344;690
07;263;Wittlich;34240;29503;1120;28383;21658;3546;0;2069;225;0;589;296
07;264;Oberwesterwaldkreis;43505;37129;1442;35687;19456;10264;0;3761;1208;0;530;468
07;265;Loreleykreis;38328;31512;1242;30270;15640;9398;0;3872;532;0;385;443
07;266;Unterlahnkreis;38622;31828;1323;30505;11628;11799;0;4054;726;0;1149;1149
07;267;Unterwesterwaldkreis;49452;43807;1842;41965;28659;9129;0;2949;395;0;552;281
07;268;Mainz, Stadt;86471;71254;2367;68887;31256;28077;0;5935;971;0;1059;1589
07;269;Worms, Stadt;41640;34819;1699;33120;12570;15246;0;3045;416;0;489;1354
07;270;Alzey;41433;34262;1402;32860;11211;12214;0;5186;690;0;524;3035
07;271;Bingen;47745;39953;1651;38302;18201;12677;0;4121;776;0;465;2062
07;272;Mainz;46142;39700;1886;37814;16524;14372;0;3647;608;0;340;2323
07;273;Worms;31821;27475;1436;26039;9452;10665;0;2357;625;0;371;2569
07;274;Frankenthal (Pfalz), Stadt;21820;18228;871;17357;7364;7688;0;1406;165;0;271;463
